epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.003,0,,,,,,,
0,,19,,2804.6728515625,,,,,
0,,39,,1890.30517578125,,,,,
0,,59,,1684.5689697265625,,,,,
0,,79,,2162.453369140625,,,,,
0,,99,,1324.756103515625,,,,,
0,,119,,1627.94091796875,,,,,
0,,139,,1377.6370849609375,,,,,
0,,159,,1475.821044921875,,,,,
0,,179,,1625.24560546875,,,,,
0,,199,,1404.5849609375,,,,,
0,,219,,1459.5733642578125,,,,,
0,,239,,1271.60205078125,,,,,
0,,245,,,53865.91015625,5386591010816.0,94651.84375,2.0,49924.55859375
0,,245,1866.9586181640625,,,,,,
,0.003,246,,,,,,,
1,,259,,1663.571044921875,,,,,
1,,279,,1271.3740234375,,,,,
1,,299,,1180.1468505859375,,,,,
1,,319,,1068.1641845703125,,,,,
1,,339,,1139.4122314453125,,,,,
1,,359,,844.38232421875,,,,,
1,,379,,876.7185668945312,,,,,
1,,399,,968.8240356445312,,,,,
1,,419,,847.0352172851562,,,,,
1,,439,,896.5804443359375,,,,,
1,,459,,1068.585205078125,,,,,
1,,479,,963.2682495117188,,,,,
1,,491,,,53514.19140625,5351419674624.0,93481.3671875,2.0,50967.77734375
1,,491,1095.91845703125,,,,,,
,0.003,492,,,,,,,
2,,499,,879.7316284179688,,,,,
2,,519,,1138.15234375,,,,,
2,,539,,915.37841796875,,,,,
2,,559,,812.3937377929688,,,,,
2,,579,,872.9461059570312,,,,,
2,,599,,824.9661865234375,,,,,
2,,619,,879.6695556640625,,,,,
2,,639,,1033.942626953125,,,,,
2,,659,,931.2452392578125,,,,,
2,,679,,943.9688110351562,,,,,
2,,699,,882.2155151367188,,,,,
2,,719,,717.2508544921875,,,,,
2,,737,,,52572.6015625,5257260171264.0,91972.578125,1.9980238676071167,50684.421875
2,,737,865.6118774414062,,,,,,
,0.003,738,,,,,,,
3,,739,,806.4979858398438,,,,,
3,,759,,707.8660278320312,,,,,
3,,779,,687.1408081054688,,,,,
3,,799,,814.4559326171875,,,,,
3,,819,,767.5670776367188,,,,,
3,,839,,832.93701171875,,,,,
3,,859,,661.1442260742188,,,,,
3,,879,,723.5477294921875,,,,,
3,,899,,715.7501831054688,,,,,
3,,919,,767.7926025390625,,,,,
3,,939,,733.8468017578125,,,,,
3,,959,,719.799072265625,,,,,
3,,979,,635.8890380859375,,,,,
3,,983,,,52462.546875,5246254317568.0,91330.90625,1.9980238676071167,50660.86328125
3,,983,730.3089599609375,,,,,,
,0.003,984,,,,,,,
4,,999,,699.9427490234375,,,,,
4,,1019,,627.9629516601562,,,,,
4,,1039,,614.81494140625,,,,,
4,,1059,,731.5202026367188,,,,,
4,,1079,,730.4481811523438,,,,,
4,,1099,,666.9200439453125,,,,,
4,,1119,,721.3652954101562,,,,,
4,,1139,,544.4402465820312,,,,,
4,,1159,,583.3006591796875,,,,,
4,,1179,,614.45849609375,,,,,
4,,1199,,637.5757446289062,,,,,
4,,1219,,685.4757690429688,,,,,
4,,1229,,,52966.69140625,5296669851648.0,91934.0078125,1.9980238676071167,51080.12109375
4,,1229,653.9629516601562,,,,,,
,0.0015,1230,,,,,,,
5,,1239,,563.3226318359375,,,,,
5,,1259,,521.8875732421875,,,,,
5,,1279,,666.4290771484375,,,,,
5,,1299,,513.9089965820312,,,,,
5,,1319,,527.9711303710938,,,,,
5,,1339,,590.5497436523438,,,,,
5,,1359,,592.7537841796875,,,,,
5,,1379,,562.4610595703125,,,,,
5,,1399,,514.6414184570312,,,,,
5,,1419,,508.1356201171875,,,,,
5,,1439,,515.7089233398438,,,,,
5,,1459,,518.5861206054688,,,,,
5,,1475,,,52310.24609375,5231023751168.0,91051.84375,1.9980238676071167,50825.4609375
5,,1475,549.1727294921875,,,,,,
