epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,49,,3273.604736328125,,,,,
0,99,,3183.71728515625,,,,,
0,122,,,53564.30859375,5356430819328.0,93713.4921875,2.0,53564.30859375
0,122,3946.46240234375,,,,,,
1,149,,2683.462646484375,,,,,
1,199,,2367.92431640625,,,,,
1,245,,,53279.390625,5327939960832.0,93650.8203125,1.994071125984192,53279.390625
1,245,2585.99755859375,,,,,,
2,249,,2003.8453369140625,,,,,
2,299,,2029.034423828125,,,,,
2,349,,2202.629150390625,,,,,
2,368,,,53382.82421875,5338282590208.0,94273.484375,1.994071125984192,53382.82421875
2,368,2186.77734375,,,,,,
3,399,,2063.134521484375,,,,,
3,449,,1988.7008056640625,,,,,
3,491,,,53623.1875,5362318573568.0,94159.578125,1.9980238676071167,53623.1875
3,491,1888.871337890625,,,,,,
4,499,,2046.104248046875,,,,,
4,549,,1438.3953857421875,,,,,
4,599,,1552.47607421875,,,,,
4,614,,,54420.4609375,5442046525440.0,95228.59375,1.9960474967956543,54420.4609375
4,614,1692.877685546875,,,,,,
