id,prediction,prediction_biased
0_20151001,286886.025390625,286886.025390625
0_20151002,333484.318359375,333484.318359375
0_20151003,394905.630859375,394905.630859375
0_20151004,408275.669921875,408275.669921875
0_20151005,314974.01953125,314974.01953125
0_20151006,288402.84375,288402.84375
0_20151007,283762.306640625,283762.306640625
0_20151008,281906.80859375,281906.80859375
0_20151009,308502.90234375,308502.90234375
0_20151010,381482.18359375,381482.18359375
0_20151011,402526.94921875,402526.94921875
0_20151012,307434.734375,307434.734375
0_20151013,282560.373046875,282560.373046875
0_20151014,274650.734375,274650.734375
0_20151015,272378.228515625,272378.228515625
0_20151016,298910.744140625,298910.744140625
0_20151017,376055.1484375,376055.1484375
0_20151018,388872.82421875,388872.82421875
0_20151019,283902.771484375,283902.771484375
0_20151020,252539.76171875,252539.76171875
0_20151021,246268.943359375,246268.943359375
0_20151022,247569.37890625,247569.37890625
0_20151023,277958.544921875,277958.544921875
0_20151024,347056.6484375,347056.6484375
0_20151025,362813.978515625,362813.978515625
0_20151026,272568.53125,272568.53125
0_20151027,245375.9453125,245375.9453125
0_20151028,241163.1328125,241163.1328125
0_20151029,244588.353515625,244588.353515625
0_20151030,287487.640625,287487.640625
0_20151031,337996.8359375,337996.8359375
0_20151101,382788.306640625,382788.306640625
0_20151102,320829.427734375,320829.427734375
0_20151103,287552.42578125,287552.42578125
0_20151104,276585.728515625,276585.728515625
0_20151105,274068.67578125,274068.67578125
0_20151106,299783.373046875,299783.373046875
0_20151107,381137.021484375,381137.021484375
0_20151108,398785.58984375,398785.58984375
0_20151109,295583.306640625,295583.306640625
0_20151110,262032.33984375,262032.33984375
0_20151111,263978.564453125,263978.564453125
0_20151112,252397.044921875,252397.044921875
0_20151113,283288.498046875,283288.498046875
0_20151114,366360.052734375,366360.052734375
0_20151115,386579.890625,386579.890625
0_20151116,277708.833984375,277708.833984375
0_20151117,241957.865234375,241957.865234375
0_20151118,234738.763671875,234738.763671875
0_20151119,237497.107421875,237497.107421875
0_20151120,282968.25390625,282968.25390625
