id,prediction
0_20151001,285481.8939184572
0_20151002,320051.29451512336
0_20151003,392876.6407909791
0_20151004,393525.7500460121
0_20151005,273789.5017535522
0_20151006,267127.93293806503
0_20151007,268876.8467573774
0_20151008,273812.2446159882
0_20151009,304314.2392617861
0_20151010,375157.3287271976
0_20151011,387065.78033496335
0_20151012,306337.0125262694
0_20151013,273190.7975758717
0_20151014,262374.4876971756
0_20151015,277480.04595262965
0_20151016,322932.22018712066
0_20151017,358218.11593774724
0_20151018,365063.34872420883
0_20151019,265861.32436457503
0_20151020,239591.66142185364
0_20151021,250778.36695230857
0_20151022,259863.11788583145
0_20151023,302191.8275625
0_20151024,355859.92240216583
0_20151025,367917.30877366196
0_20151026,276389.80095458473
0_20151027,240049.79945607344
0_20151028,246197.1977288309
0_20151029,260031.67363345827
0_20151030,297981.2892775049
0_20151031,373571.70949435036
0_20151101,394075.01205245184
0_20151102,290544.0032874301
0_20151103,279496.3420983977
0_20151104,268807.09520719526
0_20151105,279594.57260569383
0_20151106,315635.35027108854
0_20151107,375827.6253414538
0_20151108,376644.90222596715
0_20151109,295946.9599472246
0_20151110,258887.92514779043
0_20151111,261971.4459243487
0_20151112,267885.2264742154
0_20151113,309374.6787801924
0_20151114,374536.3833981025
0_20151115,385475.91644857323
0_20151116,286455.12644773384
0_20151117,251346.35737514283
0_20151118,245810.74278511197
0_20151119,250612.93905264456
0_20151120,293993.37647065806
0_20151121,343788.6739411537
0_20151122,356954.9377266376
0_20151123,268252.33392929495
0_20151124,236678.29234862444
0_20151125,237314.61974210697
0_20151126,250311.8899182435
0_20151127,282239.012448426
0_20151128,346843.92092655186
0_20151129,348963.9708759912
0_20151130,261290.42677295828
0_20151201,251908.5443965416
0_20151202,275117.76905749156
0_20151203,301007.8887238889
0_20151204,312705.7863612587
0_20151205,366834.7208679036
0_20151206,374729.1307300551
0_20151207,284044.86151241604
0_20151208,268614.6346973876
0_20151209,269147.97206396575
0_20151210,279421.9104036068
0_20151211,307135.6565940444
0_20151212,353854.69944959227
0_20151213,372194.1028185428
0_20151214,293433.04205966106
0_20151215,272657.61823786085
0_20151216,266123.63023864635
0_20151217,258654.2228754055
0_20151218,295099.91506644676
0_20151219,352280.4603616966
0_20151220,358189.0460838899
0_20151221,269467.4590935594
0_20151222,238449.80234906194
0_20151223,251720.5398437521
0_20151224,251218.00770866105
0_20151225,0.0
0_20151226,362532.25432640384
0_20151227,366764.4386670226
0_20151228,275734.13723563903
0_20151229,231078.00777183182
0_20151230,258000.37856435176
0_20151231,281955.6373329353
1_20151001,30752.119495188424
1_20151002,39449.14819806533
1_20151003,53033.43306440457
1_20151004,54073.16767331824
1_20151005,35390.67991534619
1_20151006,31367.650360740387
1_20151007,29953.90169105393
1_20151008,30983.073358972528
1_20151009,37587.57411536534
1_20151010,50353.395872510286
1_20151011,52254.87184119463
1_20151012,35984.99216780503
1_20151013,28524.58000231807
1_20151014,25851.940934780687
1_20151015,26789.789108918354
1_20151016,35703.9846587259
1_20151017,49147.481954532195
1_20151018,51235.78040489544
1_20151019,35503.26641387887
1_20151020,28757.284702793488
1_20151021,25494.94803034687
1_20151022,26715.320205199198
1_20151023,34668.953832967294
1_20151024,47378.762713517826
1_20151025,51670.79502767695
1_20151026,33591.807154379734
1_20151027,29031.534622384075
1_20151028,26008.220527818637
1_20151029,26995.661748761944
1_20151030,36268.429075671054
1_20151031,49008.08337932267
1_20151101,54145.72597330864
1_20151102,38490.44341600852
1_20151103,32108.48731282187
1_20151104,29754.925812690974
1_20151105,29761.243745530097
1_20151106,36837.91495347019
1_20151107,49334.37673112734
1_20151108,51532.010580185335
1_20151109,36122.10077591729
1_20151110,30702.77499751596
1_20151111,27792.27872210961
1_20151112,26243.951338173632
1_20151113,34448.18150799138
1_20151114,47047.64065935908
1_20151115,49608.49967280033
1_20151116,33294.08655785918
1_20151117,27521.55861398549
1_20151118,26021.760546548318
1_20151119,26485.747824476624
1_20151120,35224.74348699894
1_20151121,46944.94338861757
1_20151122,49686.181611866305
1_20151123,33549.17644449883
1_20151124,27357.620292103085
1_20151125,27446.443351908707
1_20151126,28195.914358853683
1_20151127,33428.55497573163
1_20151128,46704.956172158636
1_20151129,47925.571149781084
1_20151130,34097.50931509877
1_20151201,29014.4673946751
1_20151202,31575.883840182745
1_20151203,33311.06192632565
1_20151204,39266.770449938704
1_20151205,49451.56771432981
1_20151206,51731.677909894854
1_20151207,34658.11958207139
1_20151208,30845.051408667776
1_20151209,29189.004525783286
1_20151210,30762.383197655403
1_20151211,36792.50617746386
1_20151212,48147.60717056821
1_20151213,49495.122466097244
1_20151214,34127.433022345096
1_20151215,27455.26182630241
1_20151216,27170.948061394163
1_20151217,28330.40197122845
1_20151218,35449.56980630797
1_20151219,46487.75596017226
1_20151220,49915.0359215834
1_20151221,34440.128307863924
1_20151222,27576.598009883397
1_20151223,28294.134489715485
1_20151224,26593.37906176734
1_20151225,0.0
1_20151226,46431.56977988331
1_20151227,48226.5541506865
1_20151228,32274.179107068532
1_20151229,25267.756296474523
1_20151230,26918.63154315408
1_20151231,29163.872225229235
2_20151001,23140.58814062969
2_20151002,29676.509662343058
2_20151003,35242.73264481382
2_20151004,33810.495296952955
2_20151005,25258.950279852623
2_20151006,23421.37068675283
2_20151007,25178.391983894257
2_20151008,22737.398757177623
2_20151009,29831.696603212178
2_20151010,35272.7296506926
2_20151011,35240.026725164076
2_20151012,26154.17181417477
2_20151013,25472.772462641784
2_20151014,24651.612041889024
2_20151015,23330.920294953503
2_20151016,30960.65844132004
2_20151017,35918.01290140346
2_20151018,37506.31631534461
2_20151019,27102.996045499192
2_20151020,24001.436185336686
2_20151021,26000.515177109148
2_20151022,23039.831040619654
2_20151023,30418.20617860054
2_20151024,34098.20130394043
2_20151025,35860.42035937439
2_20151026,26217.084780909223
2_20151027,24088.877243348477
2_20151028,23968.549055208267
2_20151029,21493.15995671097
2_20151030,28080.804635017586
2_20151031,35160.91566292591
2_20151101,35594.57088859263
2_20151102,25534.65799185495
2_20151103,23834.041332398643
2_20151104,23644.43321386836
2_20151105,22134.07828842494
2_20151106,27168.34918851798
2_20151107,34564.370966547795
2_20151108,35353.41783164507
2_20151109,25695.85290031539
2_20151110,23892.66105102164
2_20151111,23529.557387694833
2_20151112,23192.392955918007
2_20151113,26885.91248726946
2_20151114,37110.41074319856
2_20151115,34783.89212227411
2_20151116,25194.107609398456
2_20151117,22562.264875674377
2_20151118,23195.573113216167
2_20151119,22558.154722825213
2_20151120,27604.10800078752
2_20151121,33795.4935723722
2_20151122,34047.42621473984
2_20151123,25637.49802951648
2_20151124,22363.533030964623
2_20151125,21574.367431028222
2_20151126,22085.103745002678
2_20151127,25636.433122264243
2_20151128,33143.89397221244
2_20151129,34043.12597881905
2_20151130,25140.64093335861
2_20151201,20723.54013954673
2_20151202,20800.19115755492
2_20151203,21292.8474926161
2_20151204,24720.34495359158
2_20151205,32464.39545604394
2_20151206,33206.658593969376
2_20151207,21546.88242813432
2_20151208,22475.50885889301
2_20151209,20638.88944040575
2_20151210,20607.578521117626
2_20151211,25734.39087474534
2_20151212,29948.32927953978
2_20151213,31946.664382495088
2_20151214,24830.54685787664
2_20151215,22903.781499092547
2_20151216,23086.71945178185
2_20151217,20856.82847586287
2_20151218,24751.626925742203
2_20151219,31751.36404746493
2_20151220,31901.56245906854
2_20151221,25155.847705876753
2_20151222,21858.465438572275
2_20151223,21677.877259399327
2_20151224,20344.940194526724
2_20151225,0.0
2_20151226,31097.058599699943
2_20151227,32246.812314786897
2_20151228,23387.751839792123
2_20151229,21826.78610342732
2_20151230,21737.06341118292
2_20151231,20693.373750885585
3_20151001,48381.89588301792
3_20151002,51423.815703970104
3_20151003,67787.84051442253
3_20151004,71481.8926024684
3_20151005,53144.01969711778
3_20151006,49032.49465257131
3_20151007,45655.63462598221
3_20151008,47325.2397737806
3_20151009,51276.17400450338
3_20151010,64969.16327242538
3_20151011,69042.5781388957
3_20151012,52038.36077002137
3_20151013,44880.87126048877
3_20151014,40171.02528727229
3_20151015,41708.53386416748
3_20151016,44092.07386350797
3_20151017,60784.81642178532
3_20151018,67564.01174689825
3_20151019,51303.56838717738
3_20151020,44268.516294403555
3_20151021,42383.00985431542
3_20151022,42124.79478486422
3_20151023,46573.789309871136
3_20151024,59984.832470240566
3_20151025,66329.4061770862
3_20151026,50621.69246991918
3_20151027,43429.23240674687
3_20151028,42043.43749318809
3_20151029,41676.399400661285
3_20151030,46118.90950724384
3_20151031,59786.82950987901
3_20151101,68973.61158749682
3_20151102,55219.65355590165
3_20151103,49632.07771512721
3_20151104,45974.95511390137
3_20151105,45552.14755430225
3_20151106,48062.20597798071
3_20151107,62139.98602867308
3_20151108,68147.70743533758
3_20151109,53509.47660640142
3_20151110,48330.46291429842
3_20151111,43347.98283987701
3_20151112,40619.17181654348
3_20151113,45924.98009103542
3_20151114,57728.94163522712
3_20151115,62283.43060657862
3_20151116,45813.50510508961
3_20151117,40648.823921557014
3_20151118,40895.53925323056
3_20151119,40252.39260575103
3_20151120,42852.817998775135
3_20151121,58452.84617970937
3_20151122,65045.76426633238
3_20151123,47857.39215267056
3_20151124,40526.506845090385
3_20151125,40159.689932825386
3_20151126,42916.94541883656
3_20151127,40607.506417697674
3_20151128,52805.036603576606
3_20151129,57670.9583760299
3_20151130,42356.9020276943
3_20151201,41114.541957688016
3_20151202,43276.469492858676
3_20151203,45906.76581913511
3_20151204,46453.06938555008
3_20151205,56834.19075179558
3_20151206,63137.51290916788
3_20151207,47881.76832231877
3_20151208,42741.93374991632
3_20151209,42075.17078179132
3_20151210,43252.53207530315
3_20151211,44754.31959017502
3_20151212,52897.38625546256
3_20151213,58807.45157921452
3_20151214,43185.34884663175
